CurriculumID,CurriculumName,Credits,GraduateLevelID,CurriculumGroupID,DepartmentID,ForeignName
1251630,Tkế nhà xưởng  và  lắp đặt TBM+TL,2,DH,NC,651,Workshop Design and Sewing Equipment Installation
1251631,TT TK nhà xưởng và lắp đặt TBM+TL,1,DH,NC,651,Workshop Design and Sewing Equipment Installation
1251640,Quản lý chất lượng trang phục,3,DH,NC,651,Costume Quality Management
1251650,Tổ chức  và  quản lý sản xuất MCN,4,DH,NC,651,Industrial Garment Organization and Management
1251660,Tổ chức và Q.Lý sản xuất MCN,3,DH,NC,651,Industrial Garment Organization and Management
1251670,Lập kế hoạch sản xuất MCN,2,DH,NC,651,Industrial Garment Production Planning
1251700,Khóa luận tốt nghiệp CNM,7,DH,CC,651,Graduation Thesis
1251710,Lập kế hoạch tài chính,2,DH,NC,651,Financial Planning
1251720,Xuất nhập khẩu hàng may mặc(TN,2,DH,GC,651,Garmenting Import - Export
1251730,Giao tiếp trong kinh doanh (TN,2,DH,GC,651,Business Communication
1251740,Q.cáo  và xúc tiến thương mại(TN),1,DH,GC,651,Advertisment and Commercial Promotion
1251741,Q.cáo  và xúc tiến T.Mại (TN-K08),2,DH,GC,651,Advertisment and Commercial Promotion
1251750,Kỹ năng buôn bán nhỏ,1,DH,NC,651,
1251760,Thiết kế nón và túi xách,2,DH,NC,651,Hanbag and Hat Design
1251770,Thiết kế giày (TN),4,DH,GC,651,Shoes Design
1251771,Thiết kế Giày (TN -K.08),3,DH,GC,651,Shoes Design
1251780,Tkế quần áo bảo hộ lao động,1,DH,NC,651,
1251790,Chuyên đề,2,DH,NC,651,Special Subject
1251800,Thiết kế nón và túi xách,3,DH,NC,651,Hanbag and Hat Design
1251810,Y phục biến kiểu,3,DH,NC,651,Clothing Variation
1251820,Tin học Ư.Dụng ngành may(CT-08,4,DH,NC,651,Applied Informatics in the Fashion Industry
1251830,TT Tin học Ư.Dụng ngành may,2,DH,NC,651,Applied IT in the Garment Industry Practice
1251840,Chuyên đề (CT-MCN),3,DH,NC,651,Special Subject
1251850,TT công nghệ ngoài trường,1,DH,NC,651,
1251860,Thiết kế trang phục thể thao,2,DH,NC,651,Sport Costume Design
1251870,Đàm phán K. Doanh hàng hóa XNK,2,DH,NC,651,Import-Export Business Negotiation
1251880,Thêu vi tính,2,DH,NC,651,Program Embroidery
1251881,Thêu - Rua vi tính,2,DH,NC,651,Computer Aided Embroidery
1251890,May (K.08),2,DH,NC,651,
1252020,Thiết kế thời trang nâng cao,1,DH,NC,652,Advanced Fashion Design
1252030,Vẽ mỹ thuật trang phục,2,DH,NC,652,Fine Art Drawing for Costume
1252040,Tkế thời trang trên máy VT(TN),1,DH,GC,652,Computer Aided Fashion Design
1252050,Tkế nâng cao trên máy VT (TN),1,DH,GC,652,
1252060,Thiết kế phát triển (TN-KNC),1,DH,GC,652,
1252070,Tâm lý học nghệ thuật,3,DH,NC,652,Psychology of arts
1252080,Thiết kế thời trang (TN),1,DH,GC,652,Fashion Design
